City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,hirara,24.8,125.2833,27.92,89,21,2.06,JP,1690137063
139,kismayo,-0.3582,42.5454,25.11,81,61,7.52,SO,1690137082
140,lazaro cardenas,17.9583,-102.2,33.54,51,14,4.53,MX,1690137367
141,kourou,5.1552,-52.6478,32.03,77,27,3.34,GF,1690137062
142,sitka,57.0531,-135.33,13.94,88,100,2.06,US,1690137449
143,port alfred,-33.5906,26.891,13.99,82,100,3.13,ZA,1690137059
144,dudinka,69.4058,86.1778,11.46,82,34,3.6,RU,1690137062
145,tra vinh,9.9347,106.3453,24.14,95,66,2.0,VN,1690137449
146,airuk,7.2772,168.8203,28.38,79,99,7.22,MH,1690137449
147,umba,66.6871,34.3429,10.3,87,100,5.65,RU,1690137449
148,naze,28.3667,129.4833,25.51,80,6,2.09,JP,1690137090
149,enewetak,11.3474,162.3373,28.37,79,37,8.47,MH,1690137052
150,belyy yar,53.6039,91.3903,17.94,72,0,4.0,RU,1690137450
151,st. john's,47.5649,-52.7093,27.66,74,75,6.17,CA,1690136853
152,banjarmasin,-3.3244,114.591,24.08,93,100,0.93,ID,1690137151
153,bredasdorp,-34.5322,20.0403,8.5,87,43,2.77,ZA,1690137045
154,yeraliyev,43.2,51.65,31.16,40,98,3.1,KZ,1690137450
155,chibougamau,49.9168,-74.3659,24.79,29,0,3.13,CA,1690137061
156,benjamin constant,-4.3831,-70.0311,30.07,37,44,0.98,BR,1690137450
157,georgetown,5.4112,100.3354,27.96,92,20,0.0,MY,1690137026
158,katsuren-haebaru,26.3369,127.8719,29.43,83,75,5.14,JP,1690137075
159,galesong,-5.3166,119.3661,23.01,77,6,3.18,ID,1690137451
160,cidreira,-30.1811,-50.2056,23.31,69,60,2.17,BR,1690137047
161,bayganin,48.6947,55.8742,25.07,31,4,5.34,KZ,1690137125
162,quellon,-43.1167,-73.6167,8.14,76,75,2.57,CL,1690137111
163,kruisfontein,-34.0033,24.7314,11.6,75,28,7.65,ZA,1690137050
164,flying fish cove,-10.4217,105.6791,23.82,88,100,5.14,CX,1690137115
165,hermanus,-34.4187,19.2345,9.33,76,14,3.06,ZA,1690137041
166,coquimbo,-29.9533,-71.3436,16.85,77,0,5.66,CL,1690137045
167,goondiwindi,-28.55,150.3167,7.73,85,100,1.71,AU,1690137451
168,muroto-misakicho,33.2833,134.15,26.25,85,0,1.31,JP,1690137451
169,payson,40.0444,-111.7321,35.14,26,0,2.06,US,1690137259
170,howrah,22.5892,88.3103,28.0,94,40,1.54,IN,1690137452
171,soio,-6.1349,12.3689,21.94,91,32,3.76,AO,1690137452
172,chester,40.1254,-75.8749,31.21,51,26,0.89,US,1690137452
173,keflavik,64.0049,-22.5624,13.95,88,75,4.12,IS,1690137043
174,buka,40.8108,69.1986,27.04,24,2,1.47,UZ,1690137078
175,ivot,53.6756,34.1872,12.96,81,15,2.15,RU,1690137452
176,afaahiti,-17.75,-149.2833,22.93,73,70,4.81,PF,1690137090
177,port elizabeth,-33.918,25.5701,13.16,76,0,6.69,ZA,1690136896
178,clifton,40.8584,-74.1638,32.5,45,75,2.57,US,1690137452
179,ponta delgada,37.7333,-25.6667,24.4,69,40,4.63,PT,1690137086
180,kenai,60.5544,-151.2583,15.08,92,100,3.6,US,1690137053
181,zhanaozen,43.3,52.8,33.24,25,42,3.61,KZ,1690137453
182,vorgashor,67.5833,63.95,14.69,98,100,2.18,RU,1690137046
183,palopo,-2.9996,120.1921,23.72,85,98,1.51,ID,1690137453
184,velyka pysarivka,50.4259,35.485,15.36,84,0,2.14,UA,1690137453
185,grootfontein,-19.5667,18.1167,18.76,30,0,2.57,NA,1690137230
186,saipan,15.1355,145.701,28.39,100,0,4.12,MP,1690137064
187,el alto,-4.2714,-81.2147,27.81,66,17,7.43,PE,1690137453
188,bikenibeu village,1.3673,173.1241,26.98,89,40,2.06,KI,1690137060
189,ketchikan,55.3422,-131.6461,16.26,82,75,2.57,US,1690137057
190,udachny,66.4167,112.4,20.25,59,100,2.02,RU,1690137060
191,xifeng,42.7372,124.7222,18.33,97,37,2.05,CN,1690137454
192,suleja,9.1758,7.1808,25.55,92,100,1.27,NG,1690137205
193,selkirk,50.1436,-96.8845,20.08,36,12,1.65,CA,1690137454
194,isafjordur,66.0755,-23.124,10.02,93,100,0.0,IS,1690137044
195,wajir,1.7471,40.0573,28.98,48,0,5.66,KE,1690137454
196,khandyga,62.6667,135.6,14.14,93,15,1.4,RU,1690137119
197,pacific grove,36.6177,-121.9166,26.47,79,0,4.02,US,1690137064
198,terme,41.2092,36.9739,23.96,84,0,1.29,TR,1690137455
199,altinyayla,39.2725,36.751,17.65,62,0,3.82,TR,1690137455
200,whitehorse,60.7161,-135.0538,14.43,88,100,2.06,CA,1690137070
201,rio verde de mato grosso,-18.9181,-54.8442,33.01,23,1,2.21,BR,1690137455
202,qaqortoq,60.7167,-46.0333,11.96,79,100,0.75,GL,1690137043
203,lengshuijiang,27.6881,111.4294,25.82,88,65,0.72,CN,1690137455
204,tralee,52.2704,-9.7026,15.47,90,93,3.38,IE,1690137101
205,ust-nera,64.5667,143.2,12.94,82,2,2.11,RU,1690137047
206,cooma,-36.2333,149.1333,-0.69,95,3,0.9,AU,1690137456
207,hinton,53.4001,-117.5857,23.91,46,100,2.84,CA,1690137456
208,yuzhno-kurilsk,44.0306,145.8556,15.25,100,95,2.85,RU,1690137058
209,la'ie,21.6477,-157.9253,27.98,76,27,6.11,US,1690137054
210,anloga,5.7947,0.8973,24.59,87,100,4.26,GH,1690137456
211,rikaze,29.25,88.8833,16.21,46,100,2.27,CN,1690137096
212,newman,37.3138,-121.0208,37.19,9,100,1.81,US,1690137077
213,lusambo,-4.9667,23.45,25.74,33,16,0.98,CD,1690137456
214,merritt island,28.5392,-80.672,36.16,63,75,4.63,US,1690137456
215,gadzhiyevo,69.2551,33.3362,8.89,86,100,6.25,RU,1690137116
216,rocha,-34.4833,-54.3333,15.97,44,98,5.55,UY,1690137457
217,preobrazheniye,42.9019,133.9064,19.9,100,100,1.44,RU,1690137457
218,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,3.6,EC,1690137106
219,muisne,0.6,-80.0333,26.82,80,69,4.32,EC,1690137457
220,homs,34.7268,36.7234,28.9,33,0,5.27,SY,1690137457
221,port douglas,-16.4833,145.4667,19.06,80,17,2.98,AU,1690137047
222,ulverstone,-41.15,146.1667,7.07,98,80,3.93,AU,1690137089
223,rondonopolis,-16.4708,-54.6356,34.8,20,0,2.93,BR,1690137208
224,oum hadjer,13.2954,19.6966,32.25,47,0,3.23,TD,1690137458
225,tura,25.5198,90.2201,24.21,93,100,1.57,IN,1690137083
226,la passe,45.5549,-0.8967,24.13,75,100,3.32,FR,1690137058
227,mandiana,10.6333,-8.6833,25.42,83,100,1.65,GN,1690137110
228,serdar,38.9764,56.2757,33.18,17,0,5.53,TM,1690137458
229,iskateley,67.6803,53.1512,15.82,88,100,2.88,RU,1690137070
230,ribeira grande,38.5167,-28.7,26.22,65,40,6.69,PT,1690137044
231,nova praha,48.5682,32.9027,17.52,60,0,2.07,UA,1690137458
232,harper,4.375,-7.7169,25.43,81,93,4.8,LR,1690137458
233,yaren,-0.5472,166.916,28.35,72,3,1.97,NR,1690137105
234,mariental,-24.6333,17.9667,19.11,17,94,5.27,NA,1690137459
235,shalya,57.2471,58.7298,15.1,72,96,2.4,RU,1690137459
236,kawardha,22.0167,81.25,26.55,84,30,1.21,IN,1690137459
237,camana,-16.6228,-72.7111,19.26,74,4,3.62,PE,1690137459
238,al ghayzah,16.2079,52.176,27.51,77,100,3.03,YE,1690137459
239,santa eularia des riu,38.9846,1.5341,29.61,86,0,2.57,ES,1690137459
240,santa elena de uairen,4.6167,-61.1333,24.85,71,60,3.0,VE,1690137460
241,guixi,28.2886,117.2133,25.11,89,99,1.29,CN,1690137460
242,novyy urgal,51.0736,132.5642,16.8,98,100,1.36,RU,1690137460
243,hanzhong,33.0728,107.0303,25.19,67,100,0.22,CN,1690137460
244,tazovsky,67.4667,78.7,16.43,81,98,3.39,RU,1690137080
245,antofagasta,-23.65,-70.4,18.6,73,43,3.09,CL,1690137460
246,port sudan,19.6175,37.2164,33.05,47,93,3.18,SD,1690137392
247,cannonvale,-20.2833,148.7,17.66,91,100,3.45,AU,1690137052
248,tshikapa,-6.4167,20.8,27.37,29,2,1.19,CD,1690137460
249,choibalsan,48.0667,114.5,14.89,73,10,1.7,MN,1690137460
250,jiangyou,31.7667,104.7167,24.97,81,100,1.62,CN,1690137461
251,christchurch,-43.5333,172.6333,10.11,94,100,5.66,NZ,1690137383
252,lucapa,-8.4192,20.7447,24.0,26,0,1.11,AO,1690137461
253,sarina,-21.4333,149.2167,14.23,13,100,4.35,AU,1690137461
254,puerto armuelles,8.2833,-82.8667,31.99,77,100,1.34,PA,1690137461
255,haiku-pauwela,20.9219,-156.3051,26.69,80,75,8.23,US,1690137461
256,strugi-krasnyye,58.2675,29.1114,13.35,83,100,4.73,RU,1690137461
257,capitan bado,-23.2667,-55.5333,28.64,33,5,4.61,PY,1690137461
258,kaa-khem,51.6833,94.7333,16.26,65,99,1.84,RU,1690137461
259,lompoc,34.6391,-120.4579,31.12,80,75,2.06,US,1690137040
260,pisco,-13.7,-76.2167,22.03,68,100,3.09,PE,1690137115
261,yarmouth,41.7057,-70.2286,30.34,61,0,4.63,US,1690137076
262,old town,50.087,14.4202,28.5,31,0,4.63,CZ,1690137462
263,dwarka,22.2394,68.9678,27.35,85,100,3.14,IN,1690137462
264,keelung,25.1283,121.7419,28.94,87,100,2.85,TW,1690137462
265,luderitz,-26.6481,15.1594,15.17,45,100,7.47,NA,1690137462
266,laguna,38.421,-121.4238,37.27,29,0,3.6,US,1690137172
267,carnarvon,-24.8667,113.6333,15.75,30,0,7.55,AU,1690137071
268,cole harbour,44.6724,-63.4751,26.66,85,100,4.12,CA,1690137462
269,pierre,44.3683,-100.351,33.51,35,0,7.2,US,1690137463
270,nadym,65.5333,72.5167,17.48,74,10,2.85,RU,1690137042
271,kumo,10.0447,11.2122,25.0,80,100,1.25,NG,1690137463
272,viedma,-40.8135,-62.9967,9.0,48,100,6.97,AR,1690137109
